time,filter,preprocess,model,epoch,test_volunteers,train_volunteers,auc,accuracy,precision,sensitivity,specificity,f1,group,sample,misinformation,missing_group,misinformation_group
2022-11-06 07:00:01,butterworth0.2,cv20,CNN,100,"[10, 8]","[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]",1.0,0.9997,1.0,0.99474,1.0,0.99736,24,3462,0,0,0
2022-11-06 08:00:48,butterworth0.2,cv20,CNN,100,"[17, 12]","[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]",1.0,1.0,1.0,1.0,1.0,1.0,24,3513,0,0,0
2022-11-06 09:01:09,butterworth0.2,cv20,CNN,100,"[4, 1]","[16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12]",1.0,0.99876,1.0,0.97333,1.0,0.98649,24,3502,0,0,0
2022-11-06 10:02:28,butterworth0.2,cv20,CNN,100,"[16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1]",0.99454,0.99909,1.0,0.98333,1.0,0.9916,24,3478,0,0,0
2022-11-06 16:48:07,butterworth0.3,cv20,CNN,100,"[19, 2]","[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99997,0.99877,0.99367,0.98125,0.99968,0.98742,24,3455,0,0,0
2022-11-06 17:49:19,butterworth0.3,cv20,CNN,100,"[20, 9]","[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]",1.0,0.9997,1.0,0.99444,1.0,0.99721,24,3480,0,0,0
2022-11-06 18:49:26,butterworth0.3,cv20,CNN,100,"[11, 18]","[7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9]",1.0,1.0,1.0,1.0,1.0,1.0,24,3510,0,0,0
2022-11-06 19:50:44,butterworth0.3,cv20,CNN,100,"[7, 14]","[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]",1.0,1.0,1.0,1.0,1.0,1.0,24,3491,0,0,0
2022-11-06 20:50:03,butterworth0.3,cv20,CNN,100,"[5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]",0.99998,0.99905,1.0,0.975,1.0,0.98734,24,3460,0,0,0
2022-11-06 21:48:53,butterworth0.3,cv20,CNN,100,"[6, 15]","[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",1.0,0.99876,1.0,0.97315,1.0,0.98639,24,3460,0,0,0
2022-11-06 22:48:48,butterworth0.3,cv20,CNN,100,"[10, 8]","[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]",1.0,0.99789,1.0,0.96316,1.0,0.98123,24,3462,0,1,0
2022-11-06 23:49:01,butterworth0.3,cv20,CNN,100,"[17, 12]","[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]",1.0,0.9997,1.0,0.99444,1.0,0.99721,24,3513,0,0,0
